channel_code,customer_id,day_since_last_trx,count_trx,net_sales,count_site_activity,count_email_received,count_email_opened,count_content_clicked,count_product_viewed,count_email_opened_clicked,count_coupon_received,count_campaign_spam_marked,count_campaign_unsubscribed,count_chat_delivered,count_soft_bounced,count_hard_bounced
PlanetSports.Asia,2e534bbe1373cec0b667c9dfa5866ba448b2a1a4cd393424145d87a2e655b4cc,158,1,"Rp63,063",0,30,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,36318829b5b98eac9aaeb568f7df59c12f11c445612beda9d3673c01d5511f23,89,1,"Rp65,081",0,0,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,ed570d6ab62f743083d1c4f7a73db99b36d0f357aaea840a46c6e71ef547cd34,169,1,"Rp66,150",0,14,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,c71ec06c34f46e3170fad52b9c9c629bd923fda54683ca6417eb3086cc98d966,197,1,"Rp68,468",26,48,51,4,33,52,2,0,0,0,1,0
PlanetSports.Asia,76e1d3f64dd52479ac931c574882da9e09d2e2dc7dd8ccc9e0cb60adb00e2281,343,1,"Rp69,730",0,25,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,cb25fe9c58a48e527fed01e41c305e2ffc500d72f58744304ecc682e8a22ef6a,346,1,"Rp69,730",0,20,0,0,0,0,1,0,0,0,0,0
PlanetSports.Asia,0b6fd8797f16ead40458998f45082323305d2e3ec662a5a53af60498db2631e7,169,1,"Rp70,590",0,9,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,d156369891cc96d1e1ba0afcb103222a684a6e5afbccf94e8efd7a0bd4fc1f72,302,1,"Rp70,631",0,23,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,a24f896375d21ff164476b2fc1cb1d317125124fcebb23f1157fa7281bcf7395,302,1,"Rp70,631",0,25,7,0,0,7,0,0,0,0,0,0
PlanetSports.Asia,b030913b724b7e928e7290943240dd1fac4ef994bcb508c88112eeb79aa50729,363,1,"Rp70,631",1,27,0,0,1,0,0,0,0,0,0,0
PlanetSports.Asia,ce7eb3fd389b2f92e7b483e5e277404343123154c0b9948913c8f67e97e7cf22,354,1,"Rp70,631",0,22,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,3ac31585907d1913490991cdc2f96670680133080e4257ee20a41cadd575b2b6,14,1,"Rp71,171",0,1,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,97fda7ce6ff486ba96641ae1f7d7c7ae09dfeb1466e37c1ef80dd60cdf2bc62b,280,1,"Rp71,171",0,4,0,0,0,0,0,0,0,0,1,0
PlanetSports.Asia,9fe4db418fd808d34ab5e779140945c071b6bc056e0f8d3739c073ff0dfbb16a,318,1,"Rp71,171",0,28,2,0,0,2,2,0,0,0,0,0
PlanetSports.Asia,08c9036679a4957142c4429cddcdc82dbc719a42e4903b8a59fdf04a5a8e796f,189,1,"Rp71,171",0,16,1,0,0,1,0,0,0,0,0,0
